,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
400,India SWE Recruiting,2022-07-24,4.0,6.0,,,IN_PROGRESS,49,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49]",d8ee75cc3359f895
401,India SWE Recruiting,2023-08-20,,,,,IN_PROGRESS,0,1,[0],6e5e706a880519b5
407,India SWE Recruiting,2023-06-18,,8.0,,,IN_PROGRESS,2,1,[0 1 2],5b59fef3a15237b0
411,India SWE Recruiting,2023-05-28,18.0,,,,IN_PROGRESS,5,1,[0 1 2 3 4 5],fdee0087bbb59686
414,India SWE Recruiting,2022-07-10,,3.0,57.0,57.0,IN_PROGRESS,57,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57]",d12d07f81d0db2db
415,India SWE Recruiting,2023-01-01,12.0,17.0,26.0,26.0,IN_PROGRESS,26,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26]",3d9e200bd9d1c5a7
418,India SWE Recruiting,2023-05-28,,,,,IN_PROGRESS,4,1,[0 1 2 3 4],771c7f887fa582fa
419,India SWE Recruiting,2023-07-16,2.0,3.0,,,IN_PROGRESS,0,1,[0],e556e1fb35bef9cd
424,India SWE Recruiting,2022-08-28,3.0,,,,IN_PROGRESS,24,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24]",b96a38b65b983ae7
425,India SWE Recruiting,2023-05-14,,,,,IN_PROGRESS,2,1,[0 1 2],c4b55d45059fe113
428,India SWE Recruiting,2023-07-30,,,3.0,3.0,IN_PROGRESS,3,1,[0 1 2 3],7aba2e55d886a787
433,India SWE Recruiting,2023-03-05,5.0,6.0,18.0,18.0,IN_PROGRESS,18,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],8bb11b0995c9498b
440,India SWE Recruiting,2023-06-18,,,3.0,3.0,IN_PROGRESS,3,1,[0 1 2 3],bc47cd9d50e733f9
441,India SWE Recruiting,2023-08-06,5.0,,,,IN_PROGRESS,1,1,[0 1],b5554288602f6598
444,India SWE Recruiting,2022-12-11,7.0,34.0,,,IN_PROGRESS,10,1,[ 0  1  2  3  4  5  6  7  8  9 10],cf804de560b9b7dd
445,India SWE Recruiting,2023-06-25,,,4.0,4.0,IN_PROGRESS,4,1,[0 1 2 3 4],0941afbbbfe32f80
480,India SWE Recruiting,2023-07-16,,,5.0,5.0,IN_PROGRESS,5,1,[0 1 2 3 4 5],4e5d91304d49a57c
488,India SWE Recruiting,2023-04-23,18.0,,,,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],1e2e159d5cc8113a
492,India SWE Recruiting,2023-06-25,,,,,IN_PROGRESS,8,1,[0 1 2 3 4 5 6 7 8],46d483fb53df78c2
493,India SWE Recruiting,2023-06-18,6.0,11.0,,,IN_PROGRESS,2,1,[0 1 2],54e7e4fbd2df8720
495,India SWE Recruiting,2022-06-26,3.0,7.0,59.0,60.0,IN_PROGRESS,60,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60]",7de3539b510b6c59
497,India SWE Recruiting,2023-06-11,4.0,9.0,,,IN_PROGRESS,0,1,[0],1e4c0b3956ec8e16
498,India SWE Recruiting,2022-04-24,5.0,19.0,63.0,63.0,IN_PROGRESS,63,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]",8e87fa1ed1914c6e
504,India SWE Recruiting,2022-07-24,3.0,4.0,,,IN_PROGRESS,42,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42]",3439450fd4993517
508,India SWE Recruiting,2023-01-29,,,,,IN_PROGRESS,16,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],108955c7fcbd9def
527,India SWE Recruiting,2023-06-18,,,9.0,9.0,IN_PROGRESS,9,2,[0 1 2 3 4 5 6 7 8 9],5efef528704ba056
528,India SWE Recruiting,2023-06-18,,,9.0,9.0,IN_PROGRESS,9,2,[0 1 2 3 4 5 6 7 8 9],0d14bf8ba110d879
